Date,Sender,Subject,Category,Words,Attachments,Size_KB
14-11-2025,admin@service.com,New Project,Education,495,3,3191.33
27-10-2025,manager@office.com,Important Notice,Promotion,469,1,2550.08
08-03-2025,david@company.com,Job Opportunity,Finance,599,5,3387.56
04-01-2025,john@university.edu,Holiday Plans,Notification,1185,4,4800.76
17-06-2025,sarah@company.com,Monthly Report,Spam,1249,5,1563.47
11-10-2025,charlie@outlook.com,Weekly Update,SPAM,230,0,2872.45
16-09-2025,charlie@outlook.com,Training Program,spam,,2,2752.66
27-03-2025,alice@gmail.com,System Notification,Education,232,3,4556.58
16-12-2025,charlie@outlook.com,Payment Confirmation,Personal,792,0,2145.4
27-04-2025,emma@gmail.com,Payment Confirmation,Social,1259,5,1980.3
,alice@gmail.com,System Notification,Notification,582,0,2831.82
24-11-2025,alice@gmail.com,Weekly Update,Notification,565,1,3501.78
29-06-2025,sarah@company.com,Assignment Submission,Education,443,1,4028.18
15-11-2025,john@university.edu,Meeting Schedule,Education,121,4,115.54
21-11-2025,support@website.com,Payment Confirmation,Notification,1067,4,4749.02
28-03-2025,charlie@outlook.com,Team Meeting,Personal,285,4,2171.39
14-07-2025,emma@gmail.com,Monthly Report,Social,1029,1,321.02
26-12-2025,alice@gmail.com,Assignment Submission,Work,649,0,2283.64
24-10-2025,david@company.com,Payment Confirmation,Finance,597,1,4508.79
26-03-2025,alice@gmail.com,Important Notice,Promotion,1405,5,1191.46
10-02-2025,,,work,1011,3,217.37
01-08-2025,manager@office.com,,Notification,1296,1,2274.7
01-02-2025,sarah@company.com,Important Notice,Personal,1024,5,4548.96
09-07-2025,john@university.edu,Meeting Schedule,Notification,1023,0,2170.45
18-05-2025,david@company.com,Team Meeting,Finance,500,5,1214.07
29-05-2025,emma@gmail.com,Job Opportunity,Personal,706,2,2274.47
08-02-2025,david@company.com,,Notification,1161,2,456.06
31-08-2025,admin@service.com,Payment Confirmation,Work,617,1,319.43
20-05-2025,david@company.com,Payment Confirmation,Promotion,436,5,3173.02
